status,path,w,h,component_count,reasons
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-aether-lamp-scout-v2/war-unit-aether-lamp-scout-v2-crawl-down-00.png,128,128,1,
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-aether-lamp-scout-v2/war-unit-aether-lamp-scout-v2-crawl-down-01.png,128,128,1,
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-aether-lamp-scout-v2/war-unit-aether-lamp-scout-v2-crawl-down-02.png,128,128,1,
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-aether-lamp-scout-v2/war-unit-aether-lamp-scout-v2-crawl-down-03.png,128,128,1,
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-aether-lamp-scout-v2/war-unit-aether-lamp-scout-v2-crawl-left-00.png,128,128,1,large alpha touches frame edge: 0
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-aether-lamp-scout-v2/war-unit-aether-lamp-scout-v2-crawl-left-01.png,128,128,1,
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-aether-lamp-scout-v2/war-unit-aether-lamp-scout-v2-crawl-left-02.png,128,128,1,large alpha touches frame edge: 0
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-aether-lamp-scout-v2/war-unit-aether-lamp-scout-v2-crawl-left-03.png,128,128,1,large alpha touches frame edge: 0
suspect,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-aether-lamp-scout-v2/war-unit-aether-lamp-scout-v2-crawl-right-00.png,128,128,2,"component 1 looks separated: area=162 ratio=0.04 dist=43.0 bbox=[62, 118, 82, 127] | large alpha touches frame edge: 0,1"
suspect,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-aether-lamp-scout-v2/war-unit-aether-lamp-scout-v2-crawl-right-01.png,128,128,2,"component 1 looks separated: area=139 ratio=0.04 dist=42.0 bbox=[51, 119, 71, 127] | large alpha touches frame edge: 1"
suspect,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-aether-lamp-scout-v2/war-unit-aether-lamp-scout-v2-crawl-right-02.png,128,128,3,"component 1 looks separated: area=106 ratio=0.03 dist=45.0 bbox=[47, 121, 65, 127] | large alpha touches frame edge: 0,1"
suspect,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-aether-lamp-scout-v2/war-unit-aether-lamp-scout-v2-crawl-right-03.png,128,128,2,"component 1 looks separated: area=91 ratio=0.03 dist=47.0 bbox=[43, 121, 60, 127] | large alpha touches frame edge: 0,1"
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-aether-lamp-scout-v2/war-unit-aether-lamp-scout-v2-crawl-up-00.png,128,128,1,large alpha touches frame edge: 0
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-aether-lamp-scout-v2/war-unit-aether-lamp-scout-v2-crawl-up-01.png,128,128,1,large alpha touches frame edge: 0
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-aether-lamp-scout-v2/war-unit-aether-lamp-scout-v2-crawl-up-02.png,128,128,1,large alpha touches frame edge: 0
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-aether-lamp-scout-v2/war-unit-aether-lamp-scout-v2-crawl-up-03.png,128,128,1,large alpha touches frame edge: 0
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-ammo-runner-v2/war-unit-ammo-runner-v2-crawl-down-00.png,128,128,1,
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-ammo-runner-v2/war-unit-ammo-runner-v2-crawl-down-01.png,128,128,1,
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-ammo-runner-v2/war-unit-ammo-runner-v2-crawl-down-02.png,128,128,1,
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-ammo-runner-v2/war-unit-ammo-runner-v2-crawl-down-03.png,128,128,1,
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-ammo-runner-v2/war-unit-ammo-runner-v2-crawl-left-00.png,128,128,1,
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-ammo-runner-v2/war-unit-ammo-runner-v2-crawl-left-01.png,128,128,1,
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-ammo-runner-v2/war-unit-ammo-runner-v2-crawl-left-02.png,128,128,1,
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-ammo-runner-v2/war-unit-ammo-runner-v2-crawl-left-03.png,128,128,1,
suspect,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-ammo-runner-v2/war-unit-ammo-runner-v2-crawl-right-00.png,128,128,3,"component 2 looks separated: area=124 ratio=0.04 dist=48.0 bbox=[55, 120, 73, 127] | large alpha touches frame edge: 2"
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-ammo-runner-v2/war-unit-ammo-runner-v2-crawl-right-01.png,128,128,3,
ok,Assets/Art/War/Units/V2/Cutouts/Crawl/war-unit-ammo-runner-v2/war-unit-ammo-runner-v2-crawl-right-02.png,128,128,3,
